262581813,256729,637834608,263881
635886834,206815,635886834,147365
635926109,119394,635926109,294616
612400206,155544,612400206,198551
612400206,155544,612400206,101438
636104217,148728,636104217,142982
635126731,153152,636208648,156565
636104217,148728,636104217,223401
636104217,148728,636104217,162249
636104217,148728,636104217,142950
636104217,148728,636104217,238940
635854131,113220,635854131,208770
635854131,113220,635854131,243267
635854131,113220,635854131,153385
635912961,162550,636848829,200031
635912961,162550,636848829,201072
635912961,162550,636050974,152948
635912961,162550,635932903,130779
635912961,162550,636068552,176507
105517092,292135,105517092,164190
127308283,109409,635927178,129127
638367413,245055,638394894,290038
441615859,101352,441615859,287093
441615859,101352,636003378,164448
441615859,101352,636063950,141100
127308283,109409,635927178,129127
562598319,110414,562598319,282536
636330647,163821,636330647,290050
636330647,163821,423382364,124001
636330647,163821,583292216,117365
263081131,102849,475281023,230095
263081131,102849,263081131,230076
263081131,102849,475281023,107271
263081131,102849,263081131,113721
263081131,102849,475281023,127537
263081131,102849,475281023,151969
263081131,102849,475281023,121326
635927178,116533,635927178,129127
640235827,271676,640998634,285565
123751767,289414,123751767,293430
119240166,274275,119240166,174970
641123906,290685,637803965,232557
627765715,253754,627765715,295181
174981035,101281,639217606,243125
641123906,290685,637803965,232557
127308283,109409,635927178,116533
127308283,109409,635927178,116432
631531644,293196,505485705,109646
631531644,293196,262781267,291675
642448753,295478,642432064,294503
636353820,171903,636353820,285165
266981084,263980,266981084,117180
584582895,287139,584582895,276924
640235827,271676,640235837,271692
640235827,271676,640998634,285565
640235827,271676,641399985,285548
640235837,267804,640235837,277109
266981084,263980,266981084,209740
640235827,271676,640235827,267208
640235827,271676,640235827,278386
640235827,271676,640998634,278529
640235827,271676,640998634,285565
640235837,271692,556099238,175339
105433127,284150,105433127,103828
640235827,271676,640235837,267804
641290564,294168,633058391,230268
127308283,109409,127308283,278443
127308283,109409,127308283,201276
127308283,109409,127308283,189119
127308283,109409,105812080,110569
127308283,109409,105812080,111769
127308283,109409,105812080,113579
633058391,230268,641290564,294168
633058391,230268,271681455,223263
127308283,109409,635927178,278438
127308283,109409,111721476,107954
127308283,109409,562602192,108080
127308283,109409,583294121,122126
637803965,232557,635945764,121822
637803965,232557,635945764,136731
260983235,240438,260983235,240452
639438590,258135,637622315,253018
636286916,160626,419581976,195492
636154334,149420,636146231,161909
574889982,109050,635882223,105063
574889982,109050,636886849,201501
639438590,283815,584582895,112641
164680841,140328,105690437,266407
631126701,276658,636143384,279390
637230222,277173,640939391,277174
639438590,283815,636011666,247804
639438590,283815,639438590,258135
639438590,283815,639438590,283815
641038220,279110,100313161,106162
641038220,279110,100313161,106162
641098261,280941,641098261,280670
637558992,223762,635890569,263742
639980677,275601,634804238,102241
639980677,275601,634804238,217193
631606776,102648,122904174,122826
631606776,102648,568898008,110662
631606776,102648,625351950,109142
631606776,102648,629665528,104340
631606776,102648,631606776,283260
639438590,258135,633300215,291679
635920498,291252,334080878,291262
637606367,293933,640266794,293932
640266794,293932,637606367,293933
561687616,295100,637297202,247641
561687616,295100,637297202,247641
635890476,292281,635976501,291215
632722970,193987,632722970,295838
635008142,266153,633300886,279021
635008142,266153,635008142,109398
637103507,208431,561682577,106366
120434323,267022,642499662,295255
636336146,295563,634493192,295561
635008142,109398,635008142,113438
636806164,284681,635936666,288349
637459546,220220,106401797,182660
635927167,162765,635927167,260154
635927167,162765,635927167,115074
635927167,162765,635927167,214761
